conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/b9c80d74-97b6-4a4b-849e-a3908ba57ae1,7543.11,kwaliteitscontroleur fineerhout,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C7543,7543,Klasseerders en testers (m.u.v. voedingsmiddelen en dranken),0.021167414895126295
Occupation,http://data.europa.eu/esco/occupation/509f9452-ed18-4fbf-8a4c-d45de85aa2f7,7544.1.1,medewerker onkruidbestrijding,0.11904761904761904
Occupation,http://data.europa.eu/esco/occupation/21cba86a-68c5-456c-aec2-cc04840b3c0e,7544.1,bestrijder ongedierte,0.129032258064516
ISCO level 4,http://data.europa.eu/esco/isco/C7544,7544,Ontsmetters en bestrijders van onkruid en ongedierte,0.12403993855606751
ISCO level 3,http://data.europa.eu/esco/isco/C811,811,Bedieningspersoneel van mijninstallaties en installaties voor de verwerking van mineralen,0.027023165783120605
Occupation,http://data.europa.eu/esco/occupation/4542ff68-f809-4ba1-857c-fd26d0914eaa,8111.1,afwateringstechnicus,0.0588235294117647
Occupation,http://data.europa.eu/esco/occupation/364e61ab-1631-4fe1-a170-e88797aad6f9,8111.2,driller on- en offshore,0.105263157894736
Occupation,http://data.europa.eu/esco/occupation/4a215d87-8363-4db2-a661-3c0d816b2a70,8111.3,bovengronds mijnwerker,0.0714285714285714
Occupation,http://data.europa.eu/esco/occupation/425f4904-3a7a-4ad0-ac5b-42b38392f768,8111.4,operator ondergrondse mijnbouwmachines en uitrusting,0.0
Occupation,http://data.europa.eu/esco/occupation/4cdfac8c-b000-4279-985e-31bc1fbe2447,8111.5,ondergronds mijnwerker,0.0714285714285714
ISCO level 4,http://data.europa.eu/esco/isco/C8111,8111,Mijnwerkers en arbeiders in steengroeven,0.061388766032728706
Occupation,http://data.europa.eu/esco/occupation/bcb7efae-2374-4ea7-a8e7-a77e4c6ecfc8,8112.1,bestuurder van een steenbreker,0.0
Occupation,http://data.europa.eu/esco/occupation/66d22b81-1b5e-42a1-b904-ac67b4a896c6,8112.2,delfstoffenbewerker,0.0526315789473684
