conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cc1ee94-ab2c-4f35-8171-3cf4b5b664e4,digital compositing,released,knowledge,cross-sector,digitale compositie,Het proces en de software voor het digitaal assembleren van meervoudige afbeeldingen om één uiteindelijk beeld te verkrijgen.,http://data.europa.eu/esco/isced-f/0211,audiovisuele technieken en mediaproductie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,released,knowledge,sector-specific,CSJS | Mocha | Server-side JavaScript | Live script | JavaScripts | JavaScript 1.6 | Live Script | Client-side JavaScript | JavaScript 1.7 | Escript,"Technieken en beginselen van softwareontwikkeling, waaronder analyse, algoritmes, coderen, testen en ontwerpen van programmeerparadigma's in JavaScript.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/69bbd53f-fbb0-4476-b4b2-ef7844464e28,computerprogrammering | ontwikkeling en analyse van software en toepassingen | webprogrammering
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b,ondersteuningssystemen voor besluitvorming,released,knowledge,sector-specific,software ter ondersteuning van besluitvorming | decision support system | DSS | besluitvormingsmatrix | hulpmiddelen voor besluitvorming | beslissingsondersteunend systeem | ondersteuningssystemen voor besluitneming,Ict-systemen die kunnen worden gebruikt ter ondersteuning van de besluitvorming in ondernemingen of organisaties.,http://data.europa.eu/esco/isced-f/0611,computergebruik
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cee858e-79e8-4a4b-b99f-93c7f735d58b,DB2,released,knowledge,sector-specific,,"IBM DB2 is een computerprogramma voor het opzetten, bijhouden en beheren van databanken. Het is ontwikkeld door softwarebedrijf IBM.",http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f | http://data.europa.eu/esco/isced-f/0612,databasebeheersystemen | ontwerp en beheer van databanken en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3cfa46e9-b7da-44ac-b09e-9596dffe0425,keuze van ICT-oplossing optimaliseren,released,skill/competence,sector-specific,ICT-oplossingskeuze optimaliseren | keuze van ICT-oplossing optimaal instellen | ICT-oplossing optimaliseren | ICT-oplossing kiezen,"Passende oplossingen op het gebied van ICT kiezen, rekening houdend met de potentiële risico’s, de voordelen en het algemene effect.",http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a | http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,technische problemen oplossen | beschermen van ict-apparaten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d03c40c-1b83-4793-8902-2523f40af59e,Microsoft Access,released,knowledge,sector-specific,,"Access is een computerprogramma voor het opzetten, bijhouden en beheren van databanken. Het is ontwikkeld door softwarebedrijf Microsoft.",http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f | http://data.europa.eu/esco/isced-f/0611,databasebeheersystemen | computergebruik
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d427a49-4f85-42cd-8a92-62d4a34f41a1,documenten archiveren,released,skill/competence,sector-specific,documenten opslaan,"Een bestandssysteem opmaken. Een documentcatalogus schrijven. Documenten enz., labelen",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,beheren van informatie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3d957fb2-b8f4-4b4c-b955-23299c761ad5,webgebaseerde cursussen ontwerpen,released,skill/competence,cross-sector,onlinetrainingsmodules opzetten | op internet gebaseerde cursussen ontwerpen | webgebaseerde cursussen beheren | onlinecursussen maken | cursussen ontwerpen voor gebruik via internet,"Webgebaseerde cursussen en instructiecursussen aanbieden aan de hand van dynamische en statische online-instrumenten om leerresultaten voor het publiek van de cursus mogelijk te maken. De hier gebruikte webtools kunnen betrekking hebben op het streamen van video- en audio-, live-internetuitzendingen, informatieportalen, chatrooms en mededelingenborden.",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,ontwerpen van ict-systemen en -applicaties
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3dc6fd8e-6ff7-432e-a262-04d487858efb,hardwarecomponenten samenstellen,released,skill/competence,cross-sector,,"De noodzakelijke hardwarecomponenten samenstellen, zoals het moederbord, de centrale verwerkingseenheid (CPU), de harde schijf, het schijfstation, de voedingseenheid, het ram-geheugen, de PGB-kaart, de muis, het toetsenbord, de camera’s en andere onderdelen die nodig zijn voor de bouw van de computer. De onderdelen handmatig bevestigen met behulp van schroevendraaiers of montageapparatuur en de bedrading installeren.
   ",http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,werken met computers
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/3e23db60-0c3d-498a-a6ac-ffbed0ecb033,ICT-toegankelijkheidsstandaarden,released,knowledge,sector-specific,standaarden voor ICT-toegankelijkheid | ICT-toegankelijkheid | ICT-richtlijnen | toegankelijkheidsstandaarden en richtlijnen | ICT-toegankelijkheidsnormen,"Aanbevelingen voor het toegankelijker maken van ICT-inhoud en -toepassingen voor een breder scala van mensen, vooral met een handicap, waaronder blinden en slechtzienden, doven en slechthorenden en mensen met een cognitieve beperking. Tot deze standaarden behoren onder meer de richtlijnen voor toegankelijkheid van webcontent (Web Content Accessibility Guidelines, WCAG).",http://data.europa.eu/esco/isced-f/0611,computergebruik
