conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,skill/competence,transversal,Hongaars schrijven,released,,Geschreven teksten in het Hongaars opstellen.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,Hongaars
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/021c8a09-6b8d-4708-a5dd-17677e846640,knowledge,transversal,gesproken Luxemburgs begrijpen,released,gesproken Luxemburgs interpreteren | Luxemburgse toespraken begrijpen | gesproken Luxemburgs verstaan,"Gesproken Luxemburgs begrijpen.
	",http://data.europa.eu/esco/skill/7d16f1e4-1003-4f1f-9595-5cafb25a67df,Luxemburgs
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,skill/competence,transversal,geschreven Koreaans begrijpen,released,,De geschreven teksten in het Koreaans lezen en begrijpen.,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Koreaans
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,skill/competence,transversal,gesproken Hongaars begrijpen,released,gesproken Hongaars verstaan,Begrijpen van gesproken Hongaars.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,Hongaars
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,skill/competence,transversal,gesproken Welsh begrijpen,released,gesproken Welsh verstaan,Gesproken Welsh begrijpen.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,Welsh
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,skill/competence,transversal,mondeling in het Bosnisch communiceren,released,verbaal in het Bosnisch communiceren | Bosnisch spreken,Mondeling communiceren in het Bosnisch.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,Bosnisch
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,skill/competence,transversal,geschreven Lets begrijpen,released,,Teksten in het Lets lezen en begrijpen.,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,Lets
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,skill/competence,transversal,Fins schrijven,released,,Geschreven teksten in het Fins opstellen.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,Fins
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,skill/competence,transversal,gesproken Punjabi begrijpen,released,gesproken Punjabi verstaan,Gesproken Punjabi begrijpen.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,Punjabi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,skill/competence,transversal,mondeling in het Occitaans communiceren,released,verbaal in het Occitaans communiceren | Occitaans spreken,Mondeling communiceren in het Occitaans.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,Occitaans
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,skill/competence,transversal,mondeling in het Tsjechisch communiceren,released,verbaal in het Tsjechisch communiceren | Tsjechisch spreken,Mondeling communiceren in het Tsjechisch.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,Tsjechisch
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,skill/competence,transversal,geschreven Oekraïens begrijpen,released,,Geschreven teksten in het Oekraïens lezen en begrijpen.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,Oekraïens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,skill/competence,transversal,geschreven Spaans begrijpen,released,,Geschreven teksten in het Spaans lezen en begrijpen.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,Spaans
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5,skill/competence,transversal,geschreven Armeens begrijpen,released,,Geschreven teksten in het Armeens lezen en begrijpen.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,Armeens
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,skill/competence,transversal,Javaans schrijven,released,,Schriftelijke teksten in het Javaans opstellen.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,Javaans
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a35de65-e51d-4862-a425-2f4dd5c4a982,skill/competence,transversal,Bosnisch schrijven,released,,Geschreven teksten in het Bosnisch opstellen.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,Bosnisch
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b8a3319-54be-4b35-8425-c31d1f42f186,skill/competence,transversal,Sanskriet schrijven,released,,Geschreven teksten in het Sanskriet opstellen.,http://data.europa.eu/esco/skill/45289df8-d02d-4f08-9802-2c7deae944ad,Sanskriet
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0dc4ee3d-3e51-4765-bc1c-996707beeea1,skill/competence,transversal,geschreven Sardijns begrijpen,released,,Geschreven teksten in het Sardijns lezen en begrijpen.,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,Sardijns
